,bedrooms,waterfront,view,condition,grade,sqft_above,sqft_basement,zipcode,price,bat_bed,sqft_floors
135,4,0,0,3,7,1010,1010,98003,220000,0.5,1010.0
136,4,0,0,4,8,1340,1250,98028,452000,0.5,1340.0
137,2,0,0,3,6,1190,0,98125,382500,0.5,1190.0
138,3,0,0,3,8,1170,0,98107,519950,0.6666666666666666,390.0
139,2,0,0,3,7,1110,0,98119,665000,0.5,1110.0
140,5,0,0,4,8,1550,1270,98006,527700,0.4,1550.0
141,3,0,0,4,7,1010,600,98058,205000,0.3333333333333333,1010.0
142,3,0,0,4,7,940,120,98133,420000,0.3333333333333333,940.0
143,4,0,0,4,8,1380,650,98006,500000,0.5,1380.0
144,4,0,0,4,9,3670,0,98077,921500,0.5,1835.0
145,4,0,0,3,8,2370,180,98109,890000,0.25,1185.0
146,2,0,0,3,7,2420,0,98027,430000,1.0,1210.0
147,5,0,0,4,8,1130,1130,98032,258000,0.4,1130.0
148,3,0,0,3,7,980,450,98103,511000,0.3333333333333333,980.0
149,3,0,0,3,8,1360,0,98103,532170,0.6666666666666666,680.0
150,3,0,0,3,7,1110,0,98107,560000,0.3333333333333333,555.0
151,3,0,0,4,7,1250,0,98003,282950,0.3333333333333333,1250.0
153,1,0,0,3,7,700,0,98115,350000,1.0,700.0
154,3,0,0,4,7,1180,0,98058,215000,0.3333333333333333,1180.0
155,5,0,0,3,9,2500,1460,98056,650000,0.8,1250.0
156,4,0,0,3,8,1620,1020,98023,320000,0.75,1620.0
157,3,0,0,3,7,1270,0,98022,247000,0.6666666666666666,635.0
158,4,0,0,4,8,1760,0,98059,320000,0.5,1760.0
159,5,0,0,3,7,1030,1030,98146,255000,0.4,1030.0
160,3,0,0,3,7,1780,0,98034,438000,0.6666666666666666,1780.0
161,3,0,0,3,10,3400,0,98075,900000,0.6666666666666666,1700.0
162,3,0,0,3,7,1160,750,98034,441000,1.0,1160.0
163,3,0,0,4,7,1010,1010,98027,420000,0.6666666666666666,1010.0
164,3,0,0,3,7,1180,400,98034,370000,0.6666666666666666,1180.0
165,2,0,0,5,5,700,640,98198,269950,1.0,700.0
166,4,0,0,3,9,2680,0,98006,807100,0.5,1340.0
167,3,0,0,4,8,1610,1070,98034,653000,0.6666666666666666,1610.0
168,3,0,0,5,7,1370,0,98133,371500,0.6666666666666666,1370.0
169,3,0,0,3,7,1560,0,98166,284000,0.6666666666666666,1560.0
170,3,0,0,4,7,1670,490,98023,272000,0.6666666666666666,1670.0
171,3,0,0,3,7,1340,0,98133,313000,0.6666666666666666,670.0
172,4,0,0,3,10,2570,1310,98033,917500,0.5,1285.0
173,4,0,0,4,8,2590,0,98006,673000,0.5,1295.0
174,3,0,0,3,8,820,300,98122,425000,0.6666666666666666,410.0
175,5,0,0,3,7,1320,650,98144,399950,0.6,1320.0
176,3,0,0,3,6,1220,0,98122,385000,0.3333333333333333,1220.0
177,3,0,2,4,7,1320,630,98022,269950,0.6666666666666666,1320.0
178,2,0,0,3,7,1060,290,98177,330000,0.5,1060.0
179,3,0,0,3,7,1670,0,98030,260000,0.6666666666666666,835.0
180,4,0,0,4,7,1680,700,98126,470000,0.75,840.0
181,4,0,0,5,7,2440,0,98034,589000,0.75,1220.0
182,2,0,0,3,7,1050,0,98038,163500,1.0,525.0
183,4,0,0,3,9,2140,990,98052,835000,0.75,1070.0
184,5,0,2,4,10,2090,2000,98033,1100000,0.6,2090.0
185,4,0,0,4,8,1100,390,98023,269000,0.5,1100.0
186,3,0,0,3,8,1900,0,98074,560000,0.6666666666666666,950.0
187,4,0,0,4,6,1330,0,98103,615000,0.25,665.0
188,3,0,0,3,8,1430,800,98052,585188,0.6666666666666666,1430.0
189,3,0,0,3,7,1220,430,98034,305000,0.6666666666666666,1220.0
190,3,0,0,3,6,1190,0,98058,166950,0.3333333333333333,1190.0
191,3,0,0,4,8,2140,0,98040,799000,0.6666666666666666,2140.0
192,3,0,0,4,7,1420,760,98133,400000,0.6666666666666666,1420.0
193,3,0,0,3,7,1060,0,98155,230000,0.3333333333333333,1060.0
194,3,0,0,3,8,1690,0,98023,256883,0.6666666666666666,845.0
195,4,0,0,5,7,1130,840,98108,423000,0.5,565.0
196,3,0,0,3,8,2150,0,98126,465000,0.6666666666666666,1075.0
197,3,0,0,3,7,1910,0,98024,440000,0.6666666666666666,955.0
198,3,0,0,4,7,1350,0,98038,385000,0.6666666666666666,1350.0
199,3,0,0,4,6,860,0,98056,210000,0.3333333333333333,860.0
200,3,0,0,3,8,1940,0,98042,297000,0.6666666666666666,970.0
201,3,0,0,3,7,1010,0,98107,470000,0.3333333333333333,1010.0
202,3,0,0,4,7,900,400,98023,226500,0.6666666666666666,900.0
203,3,0,0,4,6,910,0,98059,274250,0.3333333333333333,910.0
204,4,0,0,4,9,1630,850,98040,840000,0.5,1630.0
205,3,0,0,3,8,2440,0,98052,677900,0.6666666666666666,1220.0
206,3,0,0,3,7,1010,0,98116,425000,0.3333333333333333,1010.0
207,2,0,0,3,6,900,0,98166,180250,0.5,900.0
208,6,0,0,3,7,1600,700,98133,464000,0.5,800.0
209,4,0,0,3,8,1550,0,98038,320000,0.5,775.0
210,3,0,0,3,8,1060,210,98105,625504,0.6666666666666666,530.0
211,4,0,0,3,9,2240,0,98074,592500,0.5,2240.0
212,3,0,0,3,9,2714,0,98001,465000,0.6666666666666666,1357.0
213,4,0,0,3,8,1720,0,98118,477000,0.75,860.0
214,2,0,0,3,6,850,0,98168,280000,0.5,850.0
216,3,0,0,3,8,2250,0,98146,445838,0.6666666666666666,1125.0
217,2,0,3,3,8,1950,1950,98144,1070000,1.0,1950.0
218,2,0,0,4,8,1320,0,98177,467000,1.0,1320.0
219,4,0,0,3,10,2760,0,98075,686000,0.5,1380.0
220,3,0,0,3,7,1350,400,98198,279950,0.6666666666666666,1350.0
221,4,0,0,3,8,2330,0,98011,527000,0.5,1165.0
222,3,0,0,4,8,1780,440,98030,325000,0.6666666666666666,1780.0
223,3,0,0,3,7,2020,0,98038,328000,0.6666666666666666,1010.0
224,3,0,0,5,7,1250,0,98146,390000,0.6666666666666666,1250.0
225,2,0,0,3,8,1510,0,98053,479950,1.0,1510.0
226,4,0,0,4,7,1120,600,98023,264950,0.5,1120.0
227,3,0,0,4,7,980,450,98031,235000,0.3333333333333333,980.0
228,3,0,0,3,7,1480,0,98053,516500,0.6666666666666666,740.0
229,2,1,4,3,7,1230,220,98166,655000,1.0,615.0
230,4,0,0,5,7,2280,0,98059,500000,0.75,2280.0
231,6,0,0,3,8,1780,1160,98023,315000,0.5,1780.0
232,2,0,0,3,6,1000,0,98024,213000,0.5,1000.0
233,3,0,0,5,7,1620,860,98108,475000,0.6666666666666666,810.0
234,5,0,0,3,10,3760,0,98033,1030000,0.8,1880.0
235,3,0,0,5,7,1640,580,98010,416000,0.6666666666666666,1640.0
236,4,0,0,3,7,1670,300,98122,410000,0.25,835.0
237,3,0,0,3,10,3530,300,98077,800000,1.3333333333333333,1765.0
238,6,0,2,4,9,2350,2060,98003,472000,0.3333333333333333,2350.0
239,3,0,0,4,7,1430,0,98003,225000,0.6666666666666666,1430.0
240,2,0,0,3,6,830,0,98126,210000,0.5,830.0
241,2,0,0,2,7,1430,0,98115,455000,0.5,715.0
242,3,0,0,4,6,1300,0,98002,225000,0.3333333333333333,1300.0
243,2,0,2,4,7,790,240,98103,480000,0.5,790.0
244,3,0,0,3,9,2740,0,98023,363000,0.6666666666666666,1370.0
246,2,0,0,3,6,720,0,98106,181000,1.0,720.0
247,4,0,0,4,7,2010,0,98002,250000,0.5,2010.0
248,3,0,0,4,6,770,790,98103,481000,0.6666666666666666,770.0
249,3,0,0,4,7,1240,570,98032,260000,0.6666666666666666,1240.0
250,4,0,0,3,9,3360,0,98058,455000,0.5,1680.0
251,3,0,0,3,8,1510,0,98045,415000,0.6666666666666666,755.0
252,3,0,0,3,7,800,600,98118,349500,0.3333333333333333,800.0
253,3,0,0,3,7,1730,0,98030,245000,0.6666666666666666,865.0
254,2,0,2,5,7,1420,0,98115,592500,1.0,710.0
255,4,0,0,4,7,1180,1180,98106,385000,0.5,1180.0
256,3,0,0,4,7,1200,380,98059,315000,0.6666666666666666,1200.0
257,3,0,0,3,7,1230,0,98045,255000,0.3333333333333333,1230.0
258,4,0,0,3,8,2460,0,98052,693000,0.5,1230.0
259,3,0,0,3,8,1460,200,98112,780000,0.3333333333333333,730.0
260,3,0,0,4,7,1270,0,98198,237000,0.6666666666666666,1270.0
261,3,0,0,3,10,1320,780,98074,525000,0.6666666666666666,660.0
262,2,0,0,3,5,770,0,98144,425000,0.5,770.0
263,1,1,4,5,5,760,0,98070,369900,1.0,760.0
264,4,0,0,4,7,1700,0,98031,290000,0.5,850.0
265,3,0,0,3,7,1120,0,98106,285000,0.3333333333333333,1120.0
266,2,0,0,3,7,1070,0,98115,415000,0.5,1070.0
267,3,0,0,3,8,1420,650,98023,272500,0.6666666666666666,1420.0
270,2,0,0,4,7,1040,0,98133,436000,0.5,1040.0
271,3,0,0,4,7,1700,0,98003,210000,0.3333333333333333,1700.0
272,3,0,0,3,7,1300,0,98178,236000,0.3333333333333333,1300.0
273,3,0,0,3,7,580,500,98199,331000,0.6666666666666666,580.0
274,3,0,0,3,8,2653,0,98031,365000,0.6666666666666666,1326.5
275,3,0,0,5,8,2290,0,98058,450000,0.6666666666666666,2290.0
276,4,0,0,3,9,2850,970,98028,770000,0.75,1425.0
277,4,0,0,3,8,2210,0,98038,455000,0.5,2210.0
278,3,0,0,3,6,1240,1150,98118,405000,0.6666666666666666,1240.0
279,4,0,0,4,7,1610,990,98031,304900,0.5,1610.0
280,2,0,0,3,6,860,0,98178,170000,0.5,860.0
282,4,0,0,3,9,3500,0,98053,780000,0.5,1750.0
283,3,0,0,4,8,1740,680,98028,330000,1.0,1740.0
284,4,0,0,3,9,2720,0,98030,370000,0.5,1360.0
285,5,0,0,3,7,1850,650,98072,467000,0.4,1850.0
286,3,0,0,3,7,1140,530,98034,405000,0.6666666666666666,1140.0
287,5,0,0,3,8,1450,1450,98006,675000,0.4,1450.0
288,2,0,0,4,7,1140,500,98006,500000,0.5,1140.0
289,4,0,0,4,7,1890,0,98166,389999,0.5,945.0
290,4,0,2,4,8,1780,1170,98034,630000,0.5,1780.0
291,4,0,0,3,9,2160,0,98001,360000,0.5,1080.0
292,4,0,0,3,8,2270,1010,98056,580000,0.75,1135.0
293,3,0,3,5,8,1270,700,98126,550000,0.6666666666666666,635.0
294,4,0,0,3,10,3360,0,98075,879000,0.5,1680.0
295,3,0,0,3,7,1320,0,98042,265000,0.6666666666666666,1320.0
296,3,0,0,3,8,2650,0,98059,446500,0.6666666666666666,1325.0
297,3,0,0,3,7,1330,700,98108,404000,0.6666666666666666,1330.0
298,3,0,2,3,7,1090,500,98188,267500,0.6666666666666666,1090.0
300,3,0,0,3,8,2440,0,98003,335000,0.6666666666666666,1220.0
301,3,0,0,4,7,970,970,98117,576000,0.6666666666666666,970.0
302,3,0,0,3,8,2040,0,98038,208633,0.6666666666666666,1020.0
303,3,0,0,4,7,1120,1080,98166,315000,0.6666666666666666,1120.0
304,3,0,0,4,8,960,960,98112,725000,0.6666666666666666,960.0
305,4,0,0,4,8,1400,400,98177,550000,0.75,1400.0
306,4,0,0,3,8,2180,0,98074,610750,0.5,1090.0
307,2,0,0,4,6,1010,0,98105,550700,0.5,505.0
308,4,0,0,5,8,2220,1100,98056,665000,0.75,1110.0
309,4,0,2,5,8,1980,390,98144,834000,0.5,990.0
310,5,0,0,3,6,1660,0,98065,201000,0.4,830.0
314,4,0,0,3,8,1350,600,98058,305000,0.5,1350.0
315,3,0,0,5,8,1720,870,98133,487000,0.6666666666666666,1720.0
316,3,0,0,4,8,1930,0,98042,390000,0.6666666666666666,1930.0
317,2,0,0,4,7,1170,300,98103,548000,0.5,1170.0
318,4,0,0,3,6,800,0,98166,268750,0.25,800.0
319,5,0,0,3,9,3150,0,98052,819900,0.6,1575.0
320,3,0,0,3,8,2030,0,98027,520000,0.6666666666666666,1015.0
321,3,0,0,3,7,1450,0,98001,230000,0.6666666666666666,1450.0
322,3,0,0,3,7,1510,0,98023,240000,0.6666666666666666,1510.0
323,2,0,0,3,6,960,280,98146,232000,0.5,960.0
324,2,0,0,3,6,960,280,98146,240500,0.5,960.0
325,3,0,0,3,9,3030,0,98077,274975,0.6666666666666666,1515.0
326,4,0,0,4,9,2050,0,98102,740000,0.5,1025.0
327,3,0,0,2,7,1000,0,98166,186375,0.3333333333333333,1000.0
328,3,0,0,4,9,1590,780,98005,790000,0.6666666666666666,1590.0
329,4,0,0,3,9,1890,910,98105,880000,1.0,945.0
330,6,0,0,4,7,2240,0,98198,279000,0.3333333333333333,1120.0
331,3,0,2,3,8,1810,0,98022,295000,0.6666666666666666,1810.0
332,2,0,0,3,7,1070,0,98103,640000,0.5,1070.0
333,4,0,0,5,9,2490,0,98040,940000,0.5,1245.0
334,4,0,0,3,7,1960,0,98038,260000,0.5,980.0
335,3,0,0,3,9,1860,1070,98072,559900,1.0,1860.0
336,4,0,0,5,7,1510,0,98103,791500,0.5,755.0
337,3,0,0,3,7,1420,0,98133,265000,0.6666666666666666,1420.0
338,3,0,0,3,7,1740,0,98178,245000,0.6666666666666666,1740.0
339,4,0,0,4,7,2560,0,98052,485000,0.5,1280.0
340,4,0,0,3,9,2420,620,98059,684000,1.0,1210.0
341,3,0,0,3,8,1300,1200,98125,425000,0.6666666666666666,1300.0
342,4,0,0,4,6,1275,0,98070,309600,0.5,1275.0
343,4,0,0,3,8,2580,0,98065,552250,0.5,1290.0
344,4,0,0,3,6,1000,0,98178,165000,0.25,1000.0
345,4,0,0,3,6,1000,0,98178,239900,0.25,1000.0
346,2,0,0,4,6,1070,0,98059,320000,0.5,1070.0
347,3,0,0,4,7,1390,0,98030,206600,0.6666666666666666,1390.0
348,4,0,0,3,7,1250,1250,98155,387000,0.5,1250.0
349,1,0,0,3,4,560,0,98014,299000,1.0,560.0
350,4,0,0,3,9,2270,0,98040,855000,0.75,1135.0
351,3,0,0,4,7,1300,600,98166,315000,0.3333333333333333,1300.0
352,2,0,2,5,7,790,200,98103,437500,0.5,790.0
353,4,0,0,4,7,1050,500,98001,252000,0.5,1050.0
354,4,0,0,5,7,1100,1100,98118,375000,0.5,1100.0
355,4,0,0,3,7,1910,0,98038,300000,0.5,955.0
356,4,0,0,4,7,1750,0,98006,420000,0.25,875.0
357,3,0,0,3,7,1330,0,98033,900000,0.3333333333333333,1330.0
358,3,0,2,3,9,1980,460,98116,679900,0.6666666666666666,990.0
359,3,0,0,3,7,1640,0,98053,463000,0.6666666666666666,820.0
360,5,0,0,4,9,2760,0,98059,380000,0.4,1380.0
361,4,0,0,3,7,1820,0,98038,329500,0.5,910.0
362,3,0,0,3,8,1340,770,98033,604950,0.6666666666666666,1340.0
363,5,0,2,4,8,1640,1400,98006,795000,0.4,1640.0
364,3,0,0,3,7,1840,0,98045,465000,0.6666666666666666,920.0
365,4,0,0,3,9,2990,0,98166,673000,0.5,1495.0
366,4,0,0,3,10,3520,0,98074,810000,0.5,1760.0
367,4,0,0,4,8,1910,530,98075,785000,0.75,1910.0
368,4,0,0,3,7,1370,720,98056,338000,0.75,1370.0
369,3,0,0,3,7,1430,0,98056,280000,0.6666666666666666,715.0
370,4,0,0,5,7,1100,1080,98133,315000,0.5,1100.0
371,4,0,0,5,7,1100,1080,98133,530000,0.5,1100.0
372,5,0,0,3,9,3450,0,98023,380000,0.6,1725.0
373,3,0,0,3,7,1450,0,98056,297000,0.6666666666666666,725.0
374,4,0,0,3,10,3230,0,98075,730000,0.5,1615.0
375,3,0,0,3,7,1110,530,98125,450000,0.6666666666666666,1110.0
376,3,0,0,3,7,1060,530,98038,275000,1.0,1060.0
377,4,0,0,3,7,2020,0,98115,595000,0.5,1010.0
378,3,0,0,3,7,1300,0,98144,435000,0.6666666666666666,650.0
379,3,0,0,3,10,3030,1010,98077,950000,1.0,1515.0
380,4,0,0,3,7,2130,0,98019,389000,0.5,1065.0
381,4,0,0,3,8,1580,970,98052,560000,0.5,1580.0
383,4,0,0,4,8,2510,0,98040,799000,0.5,1255.0
384,3,0,0,4,7,1410,0,98072,365500,0.6666666666666666,1410.0
385,3,0,0,3,7,1160,490,98058,252350,0.6666666666666666,1160.0
386,4,0,0,3,8,2120,0,98146,403950,0.5,1060.0
387,4,0,0,3,7,1380,660,98177,385000,0.5,1380.0
388,4,0,0,3,7,1550,0,98106,345000,0.25,775.0
389,3,0,0,4,9,1980,0,98008,490000,1.0,990.0
390,3,0,0,3,8,1600,0,98019,330000,0.6666666666666666,800.0
391,4,0,0,3,8,3300,0,98004,927000,0.75,1650.0
392,4,0,1,4,10,3840,0,98040,1120000,0.5,1920.0
393,2,0,0,5,7,1220,0,98028,330000,0.5,1220.0
394,5,0,0,4,7,1500,1220,98008,530000,0.4,1500.0
395,3,0,0,3,7,1260,900,98118,378750,0.6666666666666666,630.0
396,4,0,0,4,7,1530,0,98058,269900,0.5,765.0
397,3,0,0,3,8,1290,420,98122,557000,1.3333333333333333,645.0
398,4,0,0,4,7,2150,1580,98022,360000,0.5,2150.0
399,2,0,0,4,7,940,0,98117,352000,0.5,940.0
400,3,0,0,3,8,1750,0,98045,437000,0.6666666666666666,875.0
401,4,0,0,3,7,1820,0,98038,322500,0.5,910.0
402,3,0,0,3,9,1330,180,98116,650000,1.0,665.0
403,3,0,0,3,8,1290,0,98103,450000,0.6666666666666666,430.0
404,3,0,0,3,7,1570,0,98092,278500,0.6666666666666666,1570.0
405,4,0,0,3,8,1930,0,98055,364950,0.5,965.0
406,4,0,4,4,10,2840,0,98038,840000,1.0,2840.0
407,3,0,0,3,7,1550,0,98031,268000,0.6666666666666666,775.0
408,2,0,0,3,5,833,0,98070,517534,0.5,833.0
409,3,0,0,4,8,2990,0,98077,632925,0.6666666666666666,1495.0
410,3,0,0,3,9,2000,0,98034,577500,0.6666666666666666,1000.0
411,4,0,2,3,7,2390,0,98178,339000,0.5,1195.0
412,3,0,0,4,7,1530,1380,98052,570000,0.6666666666666666,1530.0
413,4,0,0,3,7,1610,475,98024,563500,0.5,1610.0
414,4,0,0,5,7,1290,910,98133,423000,0.5,1290.0
415,3,0,0,3,8,1860,0,98019,355000,0.6666666666666666,930.0
417,2,0,0,3,7,950,0,98103,482000,0.5,950.0
418,3,0,0,5,7,1600,0,98006,625000,0.6666666666666666,1600.0
419,3,0,0,3,8,2250,0,98056,538000,0.6666666666666666,1125.0
420,3,0,0,4,8,2280,0,98058,380000,0.6666666666666666,1140.0
421,2,0,0,3,7,940,0,98122,375000,0.5,940.0
422,3,0,0,5,7,1030,500,98038,245000,0.6666666666666666,1030.0
423,5,0,0,4,7,2190,0,98166,310000,0.4,2190.0
